transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store_location,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,customer_age,customer_gender,customer_income,customer_loyalty_level,payment_method,promotion_applied,promotion_type,weather_conditions,holiday_indicator,weekday,stockout_indicator,forecasted_demand,actual_demand,transaction_month,transaction_week,transaction_hour,operational_region,weather_zone,is_high_complexity,demand_gap,demand_gap_pct,demand_ratio,demand_deviation_class,stockout_risk,days_of_inventory,critical_stockout,lead_time_buffer,can_survive_lead_time,store_category,coefficient_of_variation,volatility_class,promo_demand_lift,is_weekend,is_peak_hour,is_high_income_customer,is_premium_product,demand_zscore,is_demand_shock,is_demand_crash,is_demand_anomaly,is_weather_shock,is_weather_crash,has_weather_impact,unmet_demand,revenue_at_risk,potential_revenue_at_risk,predicted_demand,supply_gap,projected_stockout
4309,3338,584,TV,Electronics,5,1597.89,2024-01-01 00:31:00,20,"Miami, FL",446,149,170,140,5,48,Other,102661.74,Bronze,Digital Wallet,True,,Rainy,False,Tuesday,True,481,212,2024-01,1,0,Coastal/High-Complexity,Hurricane Risk Zone,1,-269,-55.92515592515592,0.4407484407484408,Severe Overforecast (<0.5x),False,2.1037735849056602,False,-2.8962264150943398,False,"Miami, FL | Electronics",0.40950221227462147,Moderate Volatility,0.4407484407484408,False,False,True,True,-0.7320202669779344,False,False,False,False,True,True,0,0.0,0.0,280.9360177181714,-165.0639822818286,False
3987,6415,223,Camera,Electronics,4,1778.5,2024-01-01 00:40:00,11,"Chicago, IL",250,135,222,415,3,51,Other,105371.96,Silver,Debit Card,False,,Cloudy,True,Monday,False,473,99,2024-01,1,0,Inland/Standard,Winter Storm Zone,0,-374,-79.06976744186046,0.20930232558139536,Severe Overforecast (<0.5x),False,2.525252525252525,False,-0.4747474747474749,False,"Chicago, IL | Electronics",0.40138526650097617,Moderate Volatility,,False,False,True,True,-1.6620253995700949,False,False,False,False,False,False,0,0.0,0.0,260.78721995806677,10.787219958066771,True
1495,4678,955,Tablet,Electronics,1,1072.17,2024-01-01 00:54:00,5,"Miami, FL",293,95,120,148,3,32,Female,95047.76,Gold,Debit Card,False,BOGO,Cloudy,False,Sunday,True,231,97,2024-01,1,0,Coastal/High-Complexity,Hurricane Risk Zone,1,-134,-58.00865800865801,0.4199134199134199,Severe Overforecast (<0.5x),False,3.020618556701031,False,0.020618556701030855,True,"Miami, FL | Electronics",0.40950221227462147,Moderate Volatility,,True,False,False,False,-1.6784856674035844,False,False,False,False,False,False,0,0.0,0.0,261.44036806398697,-31.559631936013034,False
3201,1975,415,TV,Electronics,5,1671.37,2024-01-01 02:04:00,11,"New York, NY",76,94,282,267,5,26,Female,54030.92,Bronze,Digital Wallet,True,BOGO,Cloudy,True,Thursday,False,316,163,2024-01,1,2,Coastal/High-Complexity,Winter Storm Zone,1,-153,-48.41772151898734,0.5158227848101266,Overforecast,True,0.4662576687116564,False,-4.533742331288344,False,"New York, NY | Electronics",0.4211560669768786,Moderate Volatility,0.5158227848101266,False,False,False,True,-1.1352968288984289,False,False,False,False,False,False,0,0.0,272433.31,276.6081762350215,200.60817623502152,True
2795,4705,154,Smartphone,Electronics,5,1275.99,2024-01-01 02:59:00,2,"Los Angeles, CA",481,67,262,360,1,19,Female,84088.82,Platinum,Credit Card,False,,Rainy,True,Saturday,True,257,484,2024-01,1,2,Coastal/High-Complexity,Moderate Zone,1,227,88.32684824902724,1.8832684824902723,Significant Underforecast,False,0.993801652892562,False,-0.006198347107438051,False,"Los Angeles, CA | Electronics",0.3987038387123488,Moderate Volatility,,True,False,False,False,1.5065761583766466,False,False,False,True,False,True,3,3827.9700000000003,0.0,347.39339871681193,-133.60660128318807,False
4024,8301,943,Tablet,Electronics,2,1775.85,2024-01-01 03:00:00,2,"New York, NY",139,89,144,274,8,62,Other,49139.64,Gold,Credit Card,True,,Rainy,True,Wednesday,True,446,324,2024-01,1,3,Coastal/High-Complexity,Winter Storm Zone,1,-122,-27.3542600896861,0.726457399103139,Overforecast,False,0.42901234567901236,False,-7.570987654320987,False,"New York, NY | Electronics",0.4211560669768786,Moderate Volatility,0.726457399103139,False,False,False,True,0.18975473169748133,False,False,False,False,False,False,185,328532.25,0.0,302.4492300185139,163.4492300185139,True
1014,6994,329,Fridge,Appliances,3,1194.86,2024-01-01 04:05:00,2,"Dallas, TX",324,79,207,345,7,35,Other,106145.06,Silver,Credit Card,True,,Rainy,False,Thursday,False,393,407,2024-01,1,4,Inland/Standard,Moderate Zone,0,14,3.5623409669211195,1.0356234096692112,Within Tolerance,False,0.7960687960687961,False,-6.203931203931204,False,"Dallas, TX | Appliances",0.4228308718801482,Moderate Volatility,1.0356234096692112,False,False,True,False,0.9018150350991762,False,False,False,False,False,False,0,0.0,0.0,325.8234304572056,1.8234304572055748,True
3893,7347,532,Smartphone,Appliances,3,1247.06,2024-01-01 05:55:00,12,"Los Angeles, CA",367,78,265,286,1,22,Female,94284.96,Gold,Cash,False,,Sunny,False,Saturday,False,140,268,2024-01,1,5,Coastal/High-Complexity,Moderate Zone,1,128,91.42857142857143,1.9142857142857144,Significant Underforecast,False,1.3694029850746268,False,0.36940298507462677,True,"Los Angeles, CA | Appliances",0.39317280694705947,Moderate Volatility,,True,False,False,False,-0.2388117854615071,False,False,False,False,False,False,0,0.0,0.0,294.20091254876945,-72.79908745123055,False
4236,1760,782,Camera,Appliances,4,1084.9,2024-01-01 07:52:00,17,"Chicago, IL",45,139,233,402,1,41,Male,78541.78,Silver,Debit Card,True,,Rainy,True,Saturday,True,327,181,2024-01,1,7,Inland/Standard,Winter Storm Zone,0,-146,-44.64831804281346,0.5535168195718655,Overforecast,True,0.24861878453038674,True,-0.7513812154696132,False,"Chicago, IL | Appliances",0.41494998274509254,Moderate Volatility,0.5535168195718655,True,False,False,False,-0.9527292918556038,False,False,False,False,True,True,136,147546.40000000002,196366.90000000002,298.14207648495574,253.14207648495574,True
4871,8187,738,Tablet,Electronics,4,186.03,2024-01-01 08:37:00,16,"Los Angeles, CA",172,128,167,327,4,54,Female,102909.01,Bronze,Cash,False,,Sunny,False,Thursday,False,161,173,2024-01,1,8,Coastal/High-Complexity,Moderate Zone,1,12,7.453416149068323,1.0745341614906831,Within Tolerance,False,0.9942196531791907,False,-3.005780346820809,False,"Los Angeles, CA | Electronics",0.3987038387123488,Moderate Volatility,,False,False,True,False,-1.052995489730981,False,False,False,False,False,False,0,0.0,0.0,269.2048215139885,97.20482151398852,True
